,compet,compit,tc_d11_d3,tc_d11_d5,tc_d11_s14r3,tc_d41_s14s3,tc_d4z_s14s3,tc_d5_s14e3,tc_d61s_s14e3,tc_d62_s14r3,tc_d7_s14s3,tc_emp_d1,tc_emps_d7,tc_uc_d5,tc_ulc_d5,tcho,td_b2_s143,td_b6_s143,td_b6_s143a,td_b6taxable_s14r3,td_dint_d1,td_dint_dhs1,td_p3a_d1,td_p3a_d3,td_p3a_d5,td_p3g_d3,td_p3g_d5,td_p3m_d1,td_p3m_d3,td_p3m_d5,td_p51_d1,td_p51_d3,td_p51_d5,td_p51g_d3,td_p51g_d5,td_p51m_d1,td_p51m_d3,td_p51m_d5,td_p51t_d1,td_p51t_d3,td_p51t_d5,td_p523_d1,td_p523_d3,td_p523_d5,td_p6_d1,td_p6_d3,td_p6_d5,td_p7_d1,td_p7_d3,td_p7_d5,td_pib1,td_pib3,td_pib5,td_pint_d5,td_ratio_p7,b2_part,ct_d61ss14,ct_tdp3ad3,demmon,dum_1982q1,dum_1982q3,dum_1984q1,inter,pd7s14,petfm,petfx,r10a,r3m,ratio_d29_39,ratio_part,ratio_soc,tc_d62_s14r1,tc_empns_d1,tc_ls_d1,td_p3g_d1,td_p51g_d1,time,trim1,trim2,trim3,trim4,tuc,tc_d1_d3,dum_1990q1,dum_1999q4,dum_1983q1,ratio_d11,d11_d5_cale,d41_s14s3_cale,d4z_s14s3_cale,d5_s143_cale,emps_d7_cale,p3a_d5_cale,p3g_d5_cale,p3m_d1_cale,p3m_d5_cale,p51g_d5_cale,p51m_d1_cale,p51m_d5_cale,p51t_d1_cale,p51t_d5_cale,p523_d1_cale,p523_d3_cale,p6_d1_cale,p6_d5_cale,p7_d1_cale,p7_d5_cale,pint_d5_cale
1978Q1,NA,1.1349974,33679.35,1.8537963,33792.627,1802.7284,1485.0354,3661.7609,4270.422,13471.691,311.71988,22020.185,18167.773,0.4413414,0.1976713,4.5,13789.594,56721.213,NA,60382.974,263705.29,261299.26,2546.5956,931.26048,0.3656884,17130.666,0.3424647,128915.99,44703.862,0.3467674,46564.404,18373.266,0.3945775,2541.2468,0.3599129,16577.194,6264.1532,0.3778778,22926.483,9567.8664,0.4173281,2406.0311,948.21512,0.3940993,33250.568,16838.637,0.5064165,37435.817,16743.367,0.4472553,226269.48,82182.541,0.3632065,0.3940584,0.2216752,0.1677923,0.1263714,0.0164182,39.420809,0,0,0,NA,0.003793,NA,NA,10.764501,9.88,0.0116349,0.0120578,0.3436571,NA,3630.6749,23057.786,50021.701,7060.7267,1,1,0,0,0,0.837,45253.497,0,0,0,1.0033634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978Q2,NA,1.1591164,34698.465,1.9084791,34817.329,1863.5966,1573.008,4299.4584,4426.5397,14126.716,322.59331,22026.598,18181.213,0.4559446,0.2011041,4.5,14028.365,58005.61,NA,62305.068,265495.92,264358.69,2566.8042,945.13546,0.3682149,17612.25,0.3486793,131422.95,46682.335,0.3552069,46556.281,18756.49,0.4028778,2598.9913,0.3683818,16167.595,6243.6362,0.3861821,23333.529,9913.8625,0.4248763,1137.2295,267.43653,0.235165,33301.344,17224.841,0.5172416,35806.771,16599.197,0.4635771,229689.15,84889.291,0.3695834,0.39994,0.2138173,0.1652548,0.1271361,0.0162939,40.000997,0,0,0,NA,0.0038002,NA,NA,10.252143,8.2,0.0117628,0.012303,0.3470696,NA,3618.9159,23064.501,50511.312,7055.1569,2,0,1,0,0,0.835,46741.246,0,0,0,1.0034256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978Q3,NA,1.1626717,35909.197,1.9736737,36037.056,1948.4816,1662.2388,4406.5933,4635.0481,14394.102,333.61422,22031.813,18194.09,0.4667472,0.2061588,4.5,14376.487,59710.338,NA,64116.931,267581.6,264853.42,2586.1099,965.11325,0.3731911,18172.912,0.3572189,131333.99,47969.082,0.365245,46887.174,19172.094,0.4088985,2656.8097,0.3793303,16447.386,6418.4745,0.3902428,23435.841,10096.81,0.4308277,2728.1771,650.30691,0.2383668,33172.828,17499.994,0.52754,35476.389,16824.785,0.474253,232105.21,87604.717,0.3774354,0.4078994,0.2107363,0.1641063,0.1286189,0.0161633,41.970272,0,0,0,NA,0.0038082,NA,NA,9.9814625,7.49,0.0115799,0.0124516,0.3481543,NA,3608.3205,23069.961,50873.32,7003.9475,3,0,0,1,0,0.837,48411.137,0,0,0,1.0035606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978Q4,NA,1.1663225,36948.198,2.0282347,37087.558,2057.3834,1752.7277,4254.7374,4730.7302,14866.041,344.7826,22046.603,18216.924,0.4766187,0.2098977,4.7,14821.172,61944.198,NA,66198.935,270772.08,268131.34,2604.5126,991.37344,0.3806368,18789.669,0.3663459,133026.19,49690.131,0.3735365,47154.405,19965.129,0.423399,2730.8415,0.3902916,16476.431,6806.7161,0.4131184,23681.049,10427.571,0.440334,2640.7318,487.9357,0.1847729,34056.819,18324.283,0.5380503,36173.914,17533.639,0.4847039,234598.16,90714.882,0.386682,0.4155831,0.2121378,0.1633819,0.1275557,0.0160043,42.93549,0,0,0,NA,0.0038007,NA,NA,9.6721139,7.05,0.0117883,0.0125105,0.3486181,NA,3598.8887,23133.896,51289.42,6996.9253,4,0,0,0,1,0.843,49829.01,0,0,0,1.0037718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979Q1,NA,1.1597041,37854.894,2.0730936,38011.625,2190.3019,1844.4748,4287.2005,5095.734,15406.466,351.28095,22081.844,18260.099,0.4855599,0.2149008,4.9,15236.272,63657.486,NA,67944.687,272959.93,269127.21,2622.0342,1023.4257,0.3903175,19328.903,0.3737126,133172.86,51019.576,0.3831079,46932.734,20317.354,0.4329037,2776.2544,0.4056622,16585.263,6951.3577,0.4191286,23503.711,10589.742,0.4505562,3832.7105,1143.4636,0.2983433,34678.281,18934.224,0.5459966,36927.218,18213.552,0.4932284,236032.71,93553.394,0.3963578,0.4253054,0.2130572,0.1628618,0.1340573,0.0160771,42.859145,0,0,0,NA,0.0037549,NA,NA,9.285428,6.85,0.0116139,0.0124992,0.3556933,42773.292,3590.6204,23219.604,51721.303,6843.76,5,1,0,0,0,0.842,51319.627,0,0,0,1.0041403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979Q2,NA,1.1966174,38931.763,2.1260656,39096.095,2285.9906,1930.2687,4766.6522,5721.1114,15920.281,360.93191,22123.25,18311.647,0.5095627,0.2197448,5,15704.829,64810.633,NA,69577.285,275252.18,272784.22,2638.7774,1058.2673,0.4010445,19951.981,0.3827315,134883.24,53005.631,0.3929742,47842.703,21141.471,0.4418954,2911.962,0.4178821,16834.702,7171.6624,0.4260047,24039.619,11057.846,0.4599843,2467.9526,924.87349,0.3747533,35289.008,19950.505,0.5653462,36951.675,19258.528,0.5211815,238300.5,96774.201,0.4061015,0.4355456,0.2166092,0.1622832,0.1463346,0.0163286,44.987753,0,0,0,NA,0.0037296,NA,NA,9.6721139,7.76,0.0115573,0.0124119,0.3607801,43112.373,3581.4649,23287.632,52130.495,6968.3819,6,0,1,0,0,0.845,52977.568,0,0,0,1.004221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979Q3,NA,1.2218909,40395.548,2.1984534,40561.714,2344.4493,2010.1095,5148.4998,6115.9738,16552.863,368.91798,22173.275,18374.53,0.5340816,0.2268188,5.2,16174.221,66747.801,239370.48,71896.301,277459.35,274773.33,2654.7641,1095.2617,0.4125646,20756.999,0.3955085,135084.23,54833.785,0.4059229,48572.82,22147.262,0.45596,3083.2692,0.4353878,16915.771,7407.8438,0.4379253,24575.387,11656.149,0.4743018,2686.0225,1273.2752,0.4740374,35979.705,20907.468,0.5810906,38313.917,21040.789,0.5491683,239145.43,99973.262,0.4180438,0.4494414,0.2266125,0.1617855,0.1507819,0.016409,45.777274,0,0,0,NA,0.0036902,NA,NA,11.015847,10.82,0.0114337,0.0122204,0.3583193,43707.865,3571.4223,23389.531,52481.808,7081.6625,7,0,0,1,0,0.848,54870.052,0,0,0,1.0041135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979Q4,NA,1.2608573,41907.875,2.275509,42065.195,2365.6782,2083.997,5455.5975,6360.8709,17120.14,375.23916,22199.631,18416.924,0.56451,0.2346117,5.2,16657.412,68851.193,241604.34,74306.791,278211.03,275729.11,2669.9942,1134.4045,0.4248715,21521.398,0.4068596,134966.89,56384.495,0.4177654,48816.485,23052.584,0.4722295,3181.9917,0.4537467,17081.293,7743.7061,0.4533442,24722.487,12126.886,0.4905205,2481.917,1741.26,0.7015787,36379.361,21727.342,0.5972436,38399.308,22439.025,0.5843601,239811.72,103122.46,0.4300143,0.4634626,0.2330204,0.1615304,0.1512146,0.0164762,46.521159,0,0,0,NA,0.0036388,NA,NA,11.595876,12.5,0.0113506,0.0119219,0.3579448,44023.616,3560.4924,23417.332,52896.374,7012.7046,8,0,0,0,1,0.855,56908.583,0,0,0,1.0037539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980Q1,86.660468,1.29637,43471.515,2.3563362,43616.263,2349.6771,2151.9314,5631.4211,6654.1078,17839.434,376.54295,22213.003,18448.774,0.5989038,0.2407113,5.1,17150.567,71198.886,264067.11,76830.307,281554.7,278394.48,2683.7668,1175.3339,0.4379419,22379.057,0.4196808,136257.87,58964.244,0.4327401,49452.227,24488.301,0.4951911,3358.2908,0.4766252,17143.217,8117.2845,0.4734983,25263.031,13012.726,0.5150897,3160.2133,2543.1202,0.8047306,36676.618,22679.738,0.6183705,39467.868,24737.506,0.6267758,242086.83,107492.29,0.4440237,0.4834853,0.24316,0.1595516,0.1525602,0.0165078,47.281863,0,0,0,-42.222222,0.003503,52.863763,53.588275,13.142619,13,0.0114794,0.0115489,0.3560546,44604.985,3548.6753,23406.747,53323.998,7045.9789,9,1,0,0,0,0.862,58949.749,0,0,0,1.0033297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980Q2,87.858685,1.3101214,45159.739,2.4453132,45300.22,2455.3948,2253.4306,5705.0779,6879.5766,18294.969,388.28528,22214.628,18467.875,0.6217258,0.2510319,5.1,17590.776,73698.421,265220.26,79403.499,279447.97,277864.65,2692.7526,1216.3485,0.4517119,23260.043,0.4331491,135662.84,60291.047,0.4444183,49261.177,25287.988,0.5133452,3475.0889,0.4972671,17029.175,8362.8093,0.4910872,25243.626,13450.09,0.5328113,1583.3181,1557.3766,0.9836157,36548.026,23128.965,0.6328376,38565.232,25061.867,0.6498565,240882.73,109679.9,0.4553249,0.4960277,0.2430385,0.1603829,0.1518663,0.0165044,45.843829,0,0,0,-41.123288,0.0035402,54.85051,55.600281,13.045948,12.65,0.0115102,0.0112387,0.3545998,44367.503,3536.8383,23408.459,53699.856,6988.3754,10,0,1,0,0,0.859,61173.372,0,0,0,1.0031108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
